date,team_1,team_1_goals,team_2_goals,team_2,team_1_1h_goals,team_2_1h_goals,team_1_2h_goals,team_2_2h_goals,team_1_yellow,team_2_yellow,team_1_red,team_2_red,team_1_1h_corners,team_2_1h_corners,team_1_2h_corners,team_2_2h_corners,team_1_match_corners,team_2_match_corners,team_1_total_corners,team_1_xg,team_2_xg,team_1_shots,team_2_shots,team_1_shots_on_target,team_2_shots_on_target,team_1_fouls,team_2_fouls
2026-06-24,Colombia,1.0,0.0,D.R. Congo,0.0,0.0,1.0,0.0,2.0,1.0,0.0,0.0,2.0,2.0,3.0,2.0,5.0,4.0,9.0,0.98,0.37,20.0,7.0,9.0,1.0,12.0,16.0
2026-06-24,Bosnia & Herzegovina,3.0,1.0,Qatar,2.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,4.0,1.0,1.0,4.0,5.0,5.0,10.0,0.68,0.77,14.0,9.0,5.0,3.0,9.0,14.0
2026-06-24,Switzerland,2.0,1.0,Canada,0.0,0.0,2.0,1.0,1.0,2.0,0.0,0.0,2.0,1.0,0.0,6.0,2.0,7.0,9.0,1.11,1.66,6.0,13.0,4.0,7.0,19.0,13.0
2026-06-24,Morocco,4.0,2.0,Haiti,2.0,2.0,2.0,0.0,0.0,3.0,0.0,0.0,3.0,0.0,6.0,1.0,9.0,1.0,10.0,3.76,0.67,22.0,9.0,11.0,2.0,10.0,18.0
2026-06-24,Scotland,0.0,3.0,Brazil,0.0,2.0,0.0,1.0,1.0,2.0,0.0,0.0,3.0,3.0,4.0,3.0,7.0,6.0,13.0,1.04,4.33,14.0,21.0,5.0,9.0,10.0,11.0
2026-06-25,Czech Republic,0.0,3.0,Mexico,0.0,0.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,5.0,1.0,5.0,1.0,6.0,0.53,1.74,13.0,11.0,1.0,5.0,9.0,13.0
2026-06-25,South Africa,1.0,0.0,South Korea,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,4.0,2.0,0.0,4.0,4.0,6.0,10.0,1.16,0.9,13.0,8.0,4.0,3.0,7.0,9.0
2026-06-25,Curacao,0.0,2.0,Ivory Coast,0.0,1.0,0.0,1.0,2.0,1.0,0.0,0.0,3.0,2.0,1.0,4.0,4.0,6.0,10.0,0.5,1.31,11.0,7.0,2.0,3.0,11.0,6.0
2026-06-25,Ecuador,2.0,1.0,Germany,1.0,1.0,1.0,0.0,3.0,1.0,0.0,0.0,1.0,1.0,2.0,1.0,3.0,2.0,5.0,1.27,0.65,7.0,11.0,3.0,3.0,15.0,10.0
2026-06-26,Japan,1.0,1.0,Sweden,0.0,0.0,1.0,1.0,1.0,2.0,0.0,0.0,1.0,3.0,1.0,5.0,2.0,8.0,10.0,1.21,0.64,8.0,11.0,3.0,5.0,20.0,11.0
2026-06-26,Tunisia,1.0,3.0,Netherlands,0.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,3.0,3.0,3.0,4.0,6.0,10.0,0.62,1.85,10.0,20.0,4.0,7.0,11.0,10.0
2026-06-26,Paraguay,0.0,0.0,Australia,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,3.0,1.0,0.0,1.0,3.0,4.0,0.24,0.55,7.0,12.0,2.0,5.0,9.0,6.0
2026-06-26,Turkey,3.0,2.0,USA,2.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,2.0,5.0,0.0,4.0,2.0,9.0,11.0,3.01,2.13,9.0,18.0,3.0,7.0,13.0,13.0
2026-06-26,Norway,1.0,4.0,France,1.0,3.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,3.0,3.0,2.0,4.0,5.0,9.0,1.7,1.5,10.0,18.0,4.0,9.0,9.0,11.0
2026-06-26,Senegal,5.0,0.0,Iraq,1.0,0.0,4.0,0.0,2.0,2.0,0.0,1.0,6.0,3.0,6.0,0.0,12.0,3.0,15.0,3.01,1.04,28.0,6.0,12.0,1.0,10.0,11.0
2026-06-27,Cape Verde,0.0,0.0,Saudi Arabia,0.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,2.0,0.0,2.0,2.0,4.0,2.0,6.0,1.39,0.39,15.0,7.0,2.0,3.0,10.0,16.0
2026-06-27,Uruguay,0.0,1.0,Spain,0.0,1.0,0.0,0.0,3.0,1.0,1.0,0.0,0.0,5.0,1.0,1.0,1.0,6.0,7.0,0.2,0.86,5.0,6.0,1.0,1.0,14.0,14.0
2026-06-27,Egypt,1.0,1.0,Iran,1.0,1.0,0.0,0.0,3.0,4.0,0.0,0.0,4.0,0.0,4.0,2.0,8.0,2.0,10.0,0.84,1.97,15.0,13.0,3.0,4.0,11.0,16.0
2026-06-27,New Zealand,1.0,5.0,Belgium,0.0,1.0,1.0,4.0,2.0,0.0,0.0,0.0,1.0,4.0,4.0,4.0,5.0,8.0,13.0,0.25,3.69,6.0,35.0,2.0,10.0,10.0,7.0
2026-06-27,Croatia,2.0,1.0,Ghana,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,3.0,2.0,3.0,2.0,5.0,0.42,0.74,8.0,6.0,4.0,1.0,9.0,13.0
2026-06-27,Panama,0.0,2.0,England,0.0,0.0,0.0,2.0,2.0,1.0,0.0,0.0,1.0,5.0,2.0,2.0,3.0,7.0,10.0,0.58,1.49,13.0,17.0,2.0,6.0,16.0,13.0
2026-06-28,Colombia,0.0,0.0,Portugal,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,4.0,2.0,5.0,2.0,7.0,1.7,0.93,24.0,13.0,6.0,2.0,12.0,6.0
2026-06-28,D.R. Congo,3.0,1.0,Uzbekistan,0.0,1.0,3.0,0.0,3.0,2.0,0.0,0.0,1.0,3.0,1.0,1.0,2.0,4.0,6.0,2.18,0.2,19.0,3.0,4.0,1.0,6.0,16.0
2026-06-28,Algeria,3.0,3.0,Austria,1.0,1.0,2.0,2.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,3.0,3.0,1.67,1.49,12.0,10.0,5.0,3.0,3.0,7.0
2026-06-28,Jordan,1.0,3.0,Argentina,0.0,2.0,1.0,1.0,3.0,0.0,0.0,0.0,1.0,2.0,1.0,4.0,2.0,6.0,8.0,0.76,2.13,5.0,12.0,1.0,4.0,13.0,7.0
2026-06-28,South Africa,0.0,1.0,Canada,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,1.0,3.0,0.0,1.0,1.0,4.0,5.0,0.14,1.38,6.0,12.0,1.0,7.0,10.0,16.0
2026-06-29,Brazil,2.0,1.0,Japan,0.0,1.0,2.0,0.0,2.0,3.0,0.0,0.0,2.0,2.0,4.0,0.0,6.0,2.0,8.0,2.07,0.33,19.0,5.0,7.0,2.0,4.0,13.0
2026-06-29,Germany,1.0,,Paraguay,0.0,1.0,1.0,0.0,2.0,2.0,0.0,0.0,6.0,2.0,4.0,2.0,16.0,6.0,22.0,1.57,0.35,21.0,7.0,6.0,3.0,18.0,12.0
2026-06-29,Netherlands,1.0,,Morocco,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,4.0,2.0,1.0,5.0,5.0,8.0,13.0,0.24,1.38,6.0,11.0,2.0,5.0,18.0,15.0
2026-06-30,Ivory Coast,1.0,2.0,Norway,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,9.0,2.0,5.0,1.0,14.0,3.0,17.0,1.49,1.9,14.0,9.0,5.0,4.0,6.0,7.0
2026-06-30,France,3.0,0.0,Sweden,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,3.0,1.0,9.0,1.0,10.0,3.24,0.7,25.0,8.0,12.0,3.0,14.0,10.0
2026-06-30,Mexico,2.0,0.0,Ecuador,2.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,1.0,5.0,2.0,3.0,3.0,8.0,11.0,1.05,0.75,15.0,7.0,3.0,1.0,10.0,14.0
2026-07-01,England,2.0,1.0,D.R. Congo,0.0,1.0,2.0,0.0,1.0,1.0,0.0,0.0,2.0,1.0,3.0,2.0,5.0,3.0,8.0,2.16,0.77,16.0,7.0,7.0,2.0,10.0,12.0
2026-07-01,Belgium,3.0,2.0,Senegal,0.0,1.0,2.0,1.0,1.0,1.0,0.0,0.0,2.0,1.0,2.0,0.0,4.0,2.0,6.0,1.74,3.58,19.0,19.0,5.0,5.0,22.0,12.0
2026-07-01,USA,2.0,0.0,Bosnia & Herzegovina,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,3.0,2.0,1.0,1.0,4.0,3.0,7.0,0.88,0.25,8.0,10.0,2.0,3.0,7.0,13.0
2026-07-02,Spain,3.0,0.0,Austria,1.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,6.0,0.0,3.0,0.0,9.0,0.0,9.0,2.8,0.32,23.0,5.0,10.0,0.0,8.0,15.0
